,name,coordinates,Bed,Bath,parking,price,closestTrain,closestTram,closeTrainKM
https://www.domain.com.au/8-94-kerferd-street-essendon-north-vic-3041-16085993,8/94 Kerferd Street Essendon North VIC 3041,[-37.7358032 144.9000261],2,1,1,400.0,POINT (144.920945008834 -37.747196792053956),POINT (144.8993568940872 -37.74001884008777),3
https://www.domain.com.au/73-100-keilor-rd-essendon-north-vic-3041-16640040,73/100 Keilor Rd Essendon North VIC 3041,[-37.7419997 144.9043891],1,1,1,39000.0,POINT (144.920945008834 -37.747196792053956),POINT (144.90297596145535 -37.741669800278),3
https://www.domain.com.au/2-17-royal-ave-essendon-north-vic-3041-16646758,2/17 Royal Ave Essendon North VIC 3041,[-37.738805 144.904739],2,1,1,38000.0,POINT (144.920945008834 -37.747196792053956),POINT (144.90289100196753 -37.74148782025558),3
https://www.domain.com.au/111-110-keilor-road-essendon-north-vic-3041-16041692,111/110 Keilor Road Essendon North VIC 3041,[-37.7417895 144.9038841],1,1,1,1608.0,POINT (144.920945008834 -37.747196792053956),POINT (144.90297596145535 -37.741669800278),3
https://www.domain.com.au/22-bulla-road-strathmore-vic-3041-16608297,22 Bulla Road Strathmore VIC 3041,[-37.7410376 144.9085173],1,1,8,1100.0,POINT (144.920945008834 -37.747196792053956),POINT (144.90577387525508 -37.742674830458334),3
https://www.domain.com.au/9-vernon-street-strathmore-vic-3041-16590344,9 Vernon Street Strathmore VIC 3041,[-37.7323487 144.9214974],4,4,2,900.0,POINT (144.9282018868825 -37.73074281161425),POINT (144.91035703723475 -37.744756800954576),3
https://www.domain.com.au/9-ivan-street-strathmore-vic-3041-16556647,9 Ivan Street Strathmore VIC 3041,[-37.7259057 144.9191311],2,2,1,67500.0,POINT (144.9215249592794 -37.717936801314515),POINT (144.9089497963955 -37.743938790752374),3
https://www.domain.com.au/2-67-lebanon-street-strathmore-vic-3041-16653684,2/67 Lebanon Street Strathmore VIC 3041,[-37.7265677 144.9138309],3,2,-1,650.0,POINT (144.9215249592794 -37.717936801314515),POINT (144.90289100196753 -37.74148782025558),3
https://www.domain.com.au/4-dagonet-street-strathmore-vic-3041-16633990,4 Dagonet Street Strathmore VIC 3041,[-37.7288258 144.9140238],3,2,3,2477.0,POINT (144.9282018868825 -37.73074281161425),POINT (144.90577387525508 -37.742674830458334),3
https://www.domain.com.au/2-1-melissa-st-strathmore-vic-3041-16642860,2/1 Melissa St Strathmore VIC 3041,[-37.7311483 144.9177263],2,1,1,550.0,POINT (144.9282018868825 -37.73074281161425),POINT (144.9089497963955 -37.743938790752374),3
https://www.domain.com.au/9-366-pascoe-vale-rd-strathmore-vic-3041-11975903,9/366 Pascoe Vale rd Strathmore VIC 3041,[-37.74322  144.928633],2,1,1,390.0,POINT (144.92732204157832 -37.743577802049984),POINT (144.92582300431465 -37.75579881267678),3
https://www.domain.com.au/2-92-bowes-avenue-airport-west-vic-3042-16585593,2/92 Bowes Avenue Airport West VIC 3042,[-37.7266937 144.8859407],3,2,2,675.0,POINT (144.9215249592794 -37.717936801314515),POINT (144.89060890297668 -37.72719185842497),3
https://www.domain.com.au/2-9-green-street-airport-west-vic-3042-16657921,2/9 Green Street Airport West VIC 3042,[-37.7288067 144.8894171],3,2,2,670.0,POINT (144.9215249592794 -37.717936801314515),POINT (144.8901340681383 -37.72994981874584),3
https://www.domain.com.au/1-125-bowes-avenue-airport-west-vic-3042-16616798,1/125 Bowes Avenue Airport West VIC 3042,[-37.7247399 144.8857035],4,2,2,660.0,POINT (144.9215249592794 -37.717936801314515),POINT (144.89060890297668 -37.72719185842497),3
https://www.domain.com.au/3-9-green-street-airport-west-vic-3042-16658214,3/9 Green Street Airport West VIC 3042,[-37.7289174 144.8893067],3,2,1,650.0,POINT (144.9215249592794 -37.717936801314515),POINT (144.8901340681383 -37.72994981874584),3
https://www.domain.com.au/16a-watt-street-airport-west-vic-3042-16646759,16A Watt Street Airport West VIC 3042,[-37.7309465 144.8790004],3,2,1,63000.0,POINT (144.9215249592794 -37.717936801314515),POINT (144.8897020704944 -37.73235785905923),3
https://www.domain.com.au/47-kingsley-road-airport-west-vic-3042-16657444,47 Kingsley Road Airport West VIC 3042,[-37.723186  144.8742608],3,1,2,63000.0,POINT (144.9215249592794 -37.717936801314515),POINT (144.89129181528864 -37.72310378845372),3
https://www.domain.com.au/1-36-york-street-airport-west-vic-3042-16619856,1/36 York Street Airport West VIC 3042,[-37.7261944 144.8875283],3,2,1,630.0,POINT (144.9215249592794 -37.717936801314515),POINT (144.89060890297668 -37.72719185842497),3
https://www.domain.com.au/1-10-laurence-avenue-airport-west-vic-3042-16617747,1/10 Laurence Avenue Airport West VIC 3042,[-37.7290427 144.8793619],3,2,1,630.0,POINT (144.9215249592794 -37.717936801314515),POINT (144.8901340681383 -37.72994981874584),3
https://www.domain.com.au/2-31-creswell-avenue-airport-west-vic-3042-16653039,2/31 Creswell Avenue Airport West VIC 3042,[-37.7321675 144.8867919],3,2,2,625.0,POINT (144.920945008834 -37.747196792053956),POINT (144.8897020704944 -37.73235785905923),3
https://www.domain.com.au/30-harrington-road-airport-west-vic-3042-16641858,30 Harrington Road Airport West VIC 3042,[-37.7235711 144.8712095],3,2,2,550.0,POINT (144.9215249592794 -37.717936801314515),POINT (144.89060890297668 -37.72719185842497),3
https://www.domain.com.au/29-highlands-avenue-airport-west-vic-3042-16620194,29 Highlands Avenue Airport West VIC 3042,[-37.7203634 144.8810944],3,1,1,540.0,POINT (144.9215249592794 -37.717936801314515),POINT (144.89129181528864 -37.72310378845372),3
https://www.domain.com.au/13-parkview-street-airport-west-vic-3042-14973609,13 Parkview Street Airport West VIC 3042,[-37.7247942 144.8768395],3,1,4,550.0,POINT (144.9215249592794 -37.717936801314515),POINT (144.89060890297668 -37.72719185842497),3
https://www.domain.com.au/1-171-halsey-road-airport-west-vic-3042-16619448,1/171 Halsey Road Airport West VIC 3042,[-37.718054  144.8762973],3,1,1,520.0,POINT (144.91722585235908 -37.704522842514955),POINT (144.89056784619248 -37.71382685956854),3
https://www.domain.com.au/3-9-walters-avenue-airport-west-vic-3042-16644263,3/9 Walters Avenue Airport West VIC 3042,[-37.733284 144.885169],3,1,1,510.0,POINT (144.920945008834 -37.747196792053956),POINT (144.8893219127036 -37.73494580941007),3
https://www.domain.com.au/5-20-green-street-airport-west-vic-3042-16652026,5/20 Green Street Airport West VIC 3042,[-37.7279955 144.8885683],2,1,2,500.0,POINT (144.9215249592794 -37.717936801314515),POINT (144.89067406284758 -37.72731083844745),3
https://www.domain.com.au/6-20-green-street-airport-west-vic-3042-16652025,6/20 Green Street Airport West VIC 3042,[-37.7279357 144.8885796],2,1,2,495.0,POINT (144.9215249592794 -37.717936801314515),POINT (144.89060890297668 -37.72719185842497),3
https://www.domain.com.au/3-36-york-street-airport-west-vic-3042-16632271,3/36 York Street Airport West VIC 3042,[-37.7260896 144.887551 ],2,2,1,2107.0,POINT (144.9215249592794 -37.717936801314515),POINT (144.89060890297668 -37.72719185842497),3
https://www.domain.com.au/1-6-laurence-avenue-airport-west-vic-3042-16635052,1/6 Laurence Avenue Airport West VIC 3042,[-37.729495  144.8801174],3,1,1,470.0,POINT (144.9215249592794 -37.717936801314515),POINT (144.8901340681383 -37.72994981874584),3
https://www.domain.com.au/55-bowes-avenue-airport-west-vic-3042-15867350,55 Bowes Avenue Airport West VIC 3042,[-37.7299106 144.8847908],3,1,4,45000.0,POINT (144.9215249592794 -37.717936801314515),POINT (144.8901340681383 -37.72994981874584),3
https://www.domain.com.au/57-cresswell-airport-west-vic-3042-16658084,57 Cresswell Airport West VIC 3042,[-37.7306174 144.8872198],1,1,1,395.0,POINT (144.9215249592794 -37.717936801314515),POINT (144.8901340681383 -37.72994981874584),3
